country_code,year,gdp_per_capita,log_gdp_per_capita,region
PAK,2015,1380.470208,7.230179450550601,South Asia
PLW,2015,15938.365222,9.676484388866434,East Asia & Pacific
PAN,2015,14082.65485,9.552699166625333,Latin America & Caribbean
PNG,2015,2484.59634,7.817865486704355,East Asia & Pacific
PRY,2015,5879.337923,8.679199436423776,Latin America & Caribbean
PER,2015,6231.711503,8.73740629363565,Latin America & Caribbean
PHL,2015,2909.85818,7.975859623582742,East Asia & Pacific
POL,2015,12637.522032,9.444425606709997,Europe & Central Asia
ARM,2007,2962.702346,7.993857085558138,Europe & Central Asia
ABW,2007,26736.308944,10.193777806124487,Latin America & Caribbean
AUS,2007,41128.247662,10.624450455454227,East Asia & Pacific
AUT,2007,46622.962291,10.749848451776582,Europe & Central Asia
AZE,2007,3851.330152,8.256173861638485,Europe & Central Asia
BHS,2007,30051.848959,10.310679467488134,Latin America & Caribbean
BHR,2007,20908.404255,9.947906474589457,Middle East & North Africa
BGD,2007,537.955493,6.2877758299739375,South Asia
BRB,2007,17235.439643,9.754722987357855,Latin America & Caribbean
BLR,2007,4735.481076,8.462838600459248,Europe & Central Asia
BEL,2007,44319.165449,10.699172491122035,Europe & Central Asia
LUX,2009,109419.746953,11.60294665499405,Europe & Central Asia
MAC,2009,40354.281029,10.605452765443154,East Asia & Pacific
MDG,2009,446.315238,6.101025514005538,Sub-Saharan Africa
MWI,2009,625.86973,6.439142250402955,Sub-Saharan Africa
MYS,2009,7191.432872,8.880645717647322,East Asia & Pacific
MDV,2009,6734.031656,8.814929300630672,South Asia
MLI,2009,787.482564,6.668841229502292,Sub-Saharan Africa
MLT,2009,21261.54287,9.964655220758521,Middle East & North Africa
MHL,2009,2906.63027,7.974749706367526,East Asia & Pacific
MRT,2009,1435.430108,7.269219810113877,Sub-Saharan Africa
MUS,2009,7426.861373,8.912858622219751,Sub-Saharan Africa
AZE,2010,5843.533768,8.673090990085017,Europe & Central Asia
BHS,2010,27473.100431,10.220962638792502,Latin America & Caribbean
BHR,2010,21819.32911,9.99055151235159,Middle East & North Africa
BGD,2010,757.38528,6.629872080369935,South Asia
BRB,2010,19723.238193,9.889552823245854,Latin America & Caribbean
BLR,2010,6034.678852,8.705277917865496,Europe & Central Asia
BEL,2010,44197.393671,10.696421099607727,Europe & Central Asia
BLZ,2010,5461.40736,8.60546179376676,Latin America & Caribbean
BEN,2010,973.244255,6.880635083570497,Sub-Saharan Africa
BMU,2010,104111.824245,11.553220833599408,North America
BTN,2010,2435.579806,7.797940120519229,South Asia
NIC,2008,1523.684371,7.328886609154211,Latin America & Caribbean
NER,2008,475.044955,6.1634094416616225,Sub-Saharan Africa
NGA,2008,2154.105435,7.675130804986363,Sub-Saharan Africa
MKD,2008,5026.420299,8.522463339557426,Europe & Central Asia
MNP,2008,16430.446194,9.706891367935842,East Asia & Pacific
NOR,2008,99001.530068,11.50289058422962,Europe & Central Asia
OMN,2008,26576.779242,10.187793152690524,Middle East & North Africa
PAK,2008,1067.043246,6.972646780939648,South Asia
PLW,2008,10471.151001,9.256379231060189,East Asia & Pacific
PAN,2008,7347.590503,8.90212771574018,Latin America & Caribbean
PNG,2008,1624.793199,7.393135824511477,East Asia & Pacific
PRY,2008,4384.954694,8.385934572711859,Latin America & Caribbean
LIE,2012,148842.035144,11.910640855734453,Europe & Central Asia
LTU,2012,14288.185349,9.567188275386563,Europe & Central Asia
LUX,2012,112584.676271,11.631460895471054,Europe & Central Asia
MAC,2012,76058.022496,11.239251781880524,East Asia & Pacific
MDG,2012,493.511163,6.201545478678497,Sub-Saharan Africa
